FIPS,state,county,buildings,minimal_exposure,indirect_exposure,direct_exposure,burn_probability,wildfire_risk,population,svi,svi_socioeconomic,svi_household,svi_minority,svi_housing_transport,county_label,svi_quartile,high_high,compound_priority
16027,ID,"Canyon County, ID",103855,0.495392615,0.056222618,0.448384767,0.827,0.807,235006,0.6217,0.5647,0.7311,0.6885,0.4623,"Canyon County, ID",Q3,FALSE,0.71435
16029,ID,"Caribou County, ID",7518,0.020883214,0.450385741,0.528731045,0.933,0.942,7058,0.1231,0.2332,0.0512,0.3118,0.2039,"Caribou County, ID",Q1: Least vulnerable,FALSE,0.53255
16031,ID,"Cassia County, ID",16538,0.48808804,0.076006772,0.435905188,0.984,0.987,24859,0.56,0.5103,0.5367,0.6971,0.5208,"Cassia County, ID",Q3,FALSE,0.7735000000000001
16033,ID,"Clark County, ID",1211,0.030553262,0.329479769,0.639966969,0.833,0.84,756,0.5412,0.8206,0.2068,0.8829,0.1607,"Clark County, ID",Q3,FALSE,0.6906
16035,ID,"Clearwater County, ID",8746,0.001829408,0.276354905,0.721815687,0.962,0.968,8810,0.5912,0.4709,0.5272,0.3388,0.8349,"Clearwater County, ID",Q3,FALSE,0.7796
16037,ID,"Custer County, ID",6583,0.001367158,0.284216922,0.71441592,0.762,0.799,4344,0.3713,0.4556,0.434,0.3166,0.3016,"Custer County, ID",Q2,FALSE,0.5851500000000001
16039,ID,"Elmore County, ID",16430,0.007364577,0.558064516,0.434570907,0.997,0.992,28752,0.8155,0.8804,0.6745,0.6538,0.6503,"Elmore County, ID",Q4: Most vulnerable,TRUE,0.90375
16041,ID,"Franklin County, ID",10805,0.143729755,0.286996761,0.569273484,0.917,0.929,14376,0.1101,0.3035,0.1002,0.2879,0.0627,"Franklin County, ID",Q1: Least vulnerable,FALSE,0.5195500000000001
16043,ID,"Fremont County, ID",14945,0.255470057,0.127735028,0.616794915,0.836,0.849,13519,0.5504,0.475,0.8002,0.4658,0.4333,"Fremont County, ID",Q3,FALSE,0.6997
16045,ID,"Gem County, ID",13682,0.219704722,0.066437655,0.713857623,0.994,0.985,19250,0.6153,0.3054,0.9815,0.4356,0.5657,"Gem County, ID",Q3,FALSE,0.8001499999999999
16047,ID,"Gooding County, ID",12848,0.137920299,0.325420299,0.536659402,0.983,0.975,15520,0.8059,0.7477,0.8686,0.7165,0.6408,"Gooding County, ID",Q4: Most vulnerable,TRUE,0.89045
16049,ID,"Idaho County, ID",19575,0.049655172,0.179003831,0.771340996,0.993,0.993,16787,0.5199,0.5915,0.5593,0.2816,0.4489,"Idaho County, ID",Q3,FALSE,0.7564500000000001
16051,ID,"Jefferson County, ID",17704,0.407026661,0.061285585,0.531687754,0.784,0.818,31383,0.1212,0.1699,0.2313,0.4085,0.098,"Jefferson County, ID",Q1: Least vulnerable,FALSE,0.46959999999999996
16053,ID,"Jerome County, ID",15374,0.403018082,0.083907896,0.513074021,0.925,0.912,24474,0.5826,0.7057,0.6666,0.8005,0.1801,"Jerome County, ID",Q3,FALSE,0.7473000000000001
